author,rating,comment,date,sentiment
Tiasa Nath,3.0,food service would good waiter would forget bring asked even asked several time rush hour restaurant empty went portion size pasta disappointing thin crust pizza tasty according price think pizza little meat vegetarian option available plenty food service atmosphere recommended dish carbonara pasta food service atmosphere recommended dish carbonara pasta,3 months ago,negative
Bina Soni,5.0,went whole family u kid age year old also italian food offered excellent ordered wide variety different pizza pasta soup taste really unique herb used fresh tasted amazing overall excellent experience since service provided also good amazed also centrally located near tata centre chowrangi road close loretta college kolkata india food service atmosphere food service atmosphere,5 months ago,positive
Aankit Das,3.0,place specialises pizza expected better experience dough felt raw taste price inexplicably high maybe ordered bad pizza know going back atmosphere okay guess food service atmosphere parking space somewhat difficult find parking food service atmosphere parking space somewhat difficult find parking,6 months ago,negative
Arnab Karmakar,5.0,slice snap savor pizza perfection every bite pizzalicious every bite fireandicepizzeriakolkata park street kolkata pizza alle verdure miste cost two food service atmosphere food service atmosphere,4 months ago,positive
Payel Banerjee,3.0,ambience absolutely amazing little disappointed pizza went seeing amazing review maybe went waiter suggested take pizza take extra total prize agreed cause excited taste famous pizza long time pizza came burnt hard crust doug look pretty funny precise know thin crust little hard looked like last pizza made long ago even hot price even informed showed food quality waiter agreed u take step well satisfy expectation rest good might visit another time confirm bad experience one time thing food service atmosphere recommended dish food service atmosphere recommended dish,4 months ago,positive
Suman Majumder,5.0,one better pizzeria kolkata one want try authentic italian pizza italian dish located prime spot easy access also offer large dining area thus perfect everyone accommodating large group hassle food service atmosphere food service atmosphere,6 months ago,positive
ksgroup 07,5.0,beautiful spacious well maintained place extremely courteous staff great spot try great pizza good price especially loved base tomato sauce seemed made iced tea bit boring tasting like fruit juice tea service charge also bit steep overall nice place hangout good food food service atmosphere food service atmosphere,7 months ago,positive
Priti Chodankar,5.0,food ambiance good authentic italian food food service atmosphere food service atmosphere,3 months ago,positive
Rashmi Roy,4.0,beautiful spacious well maintained place extremely courteous staff great spot try great pizza good price especially loved base tomato sauce seemed made iced tea bit boring tasting like fruit juice tea service charge also bit steep overall nice place hangout good food,a year ago,positive
Senjuti,5.0,located right next maidan metro station beautifully decorated little restaurant heart city two u comfortably shared fire bengal pizza initially skeptical mutton keema pizza turned delightfully spicy wonderful combination bengali flavor ingredient pizza also split chocolate brownie dessert combination fantastic would highly recommend restaurant food service atmosphere food service atmosphere,8 months ago,positive
Tune with Food,4.0,outside appearance appealing decided go inside look variety choice restaurant offering surprise found restaurant lot item menu item never heard actually look menu found something trust bit fire bengal pizza tomato sauce mozzarella spicy mutton green chilli fresh coriander leaf topping rating pizza star felt like tomato sauce le quantity mutton could little bit say cheese perfect amount little flavour enhanced pizza large size basically piece capacity tummy actually enough people overall ambience restaurant quite nice liked wish visit would like try item,3 years ago,positive
