author,rating,comment,date
Tiasa Nath,3.0,"The food is so-so. The service would've been good if only the waiters would not forget to bring what we asked even after we asked for it several times, and it was not rush hour. The restaurant was empty when we went there. The portion sizes for Pasta is very disappointing. Thin crust pizzas are tasty, but according to the price I think the pizza should have a little more meat in it. Vegetarian options: Available in plenty Kid-friendliness: Very Kid-friendly Food : 3/5   |   Service : 3/5   |   Atmosphere : 5/5 Recommended dishes 
Carbonara Pasta Food : 3/5   |   Service : 3/5   |   Atmosphere : 5/5 Recommended dishes 
Carbonara Pasta ",3 months ago
Bina Soni,5.0,"We went as a whole family, about 12 of us, with kids ages 2 to 8 years old also. The Italian food they offered was excellent. We ordered a wide variety of different pizzas, pastas, and soup. The taste was really unique. The herbs they used were very fresh and tasted amazing. Overall, it was an excellent experience since the service they provided was also very good. I was amazed that it was also very centrally located,  near Tata Centre on Chowrangi Road close to Loretta College, in Kolkata, India. Food : 5/5   |   Service : 5/5   |   Atmosphere : 5/5 Food : 5/5   |   Service : 5/5   |   Atmosphere : 5/5 ",5 months ago
Aankit Das,3.0,"For a place that specialises in pizza, I expected a  better experience. The dough felt raw, the taste wasn't there, the price was inexplicably high. Maybe I ordered a bad pizza, i don't know. Not going back. The atmosphere was okay I guess. Food : 2/5   |   Service : 4/5   |   Atmosphere : 4/5 Parking space 
Somewhat difficult to find parking Food : 2/5   |   Service : 4/5   |   Atmosphere : 4/5 Parking space 
Somewhat difficult to find parking ",6 months ago
Arnab Karmakar,5.0,"Slice, Snap, Savor. Pizza perfection in every bite! Pizzalicious is every bite    @fireandicepizzeriakolkata  Park Street, Kolkata What we had:   Pizza Alle Verdure Miste 4.5/5 Cost for Two:  1000 for 2 Food : 5/5   |   Service : 4/5   |   Atmosphere : 4/5 Food : 5/5   |   Service : 4/5   |   Atmosphere : 4/5 ",4 months ago
Payel Banerjee,3.0,"The ambience was absolutely amazing but I'm a little disappointed with the pizza. I went there seeing amazing reviews but maybe it's because it was 9pm when we went - the waiter suggested we take half-half pizza but they'd take 10% extra of total prize . We agreed cause we were excited to taste the famous pizzas there. But after a long time , the pizza that came had a burnt hard crust. And the Doug looks pretty funny. To be precise I know thin crust should be little hard but it wasn't such , looked like last pizza they had made long ago , even wasn't hot + the price   We even informed and showed the food quality to the waiter, he agreed with us but didn't take any step further. Well it didn't satisfy the expectation . Rest good :) I might visit another time , just to confirm if that bad experience was one time thing or not. Food : 3/5   |   Service : 4/5   |   Atmosphere : 5/5 Recommended dishes 
 Food : 3/5   |   Service : 4/5   |   Atmosphere : 5/5 Recommended dishes 
 ",4 months ago
Suman Majumder,5.0,"One of the better pizzerias in Kolkata if one wants to try out authentic Italian pizzas and other Italian dishes. Located at a very prime spot, it's easy to access and also offers a large dining area, thus is perfect for everyone, accommodating large groups with no hassle. Food : 4/5   |   Service : 4/5   |   Atmosphere : 5/5 Food : 4/5   |   Service : 4/5   |   Atmosphere : 5/5 ",6 months ago
ksgroup 07,5.0,"Beautiful, spacious and well maintained place with extremely courteous staff. Great spot to try out great pizza at a good price, especially loved their base tomato sauce which seemed to be made in-house. Iced teas were a bit boring tasting more like fruit juice than tea. Service charge is also a bit steep. But overall a nice place to hangout and have good food. Food : 5/5   |   Service : 5/5   |   Atmosphere : 5/5 Food : 5/5   |   Service : 5/5   |   Atmosphere : 5/5 ",7 months ago
Priti Chodankar,5.0,The food and ambiance is very good. Had some authentic Italian food. Food : 5/5   |   Service : 5/5   |   Atmosphere : 5/5 Food : 5/5   |   Service : 5/5   |   Atmosphere : 5/5 ,3 months ago
Rashmi Roy,4.0,"Beautiful, spacious and well maintained place with extremely courteous staff. Great spot to try out great pizza at a good price, especially loved their base tomato sauce which seemed to be made in-house. Iced teas were a bit boring tasting more like fruit juice than tea. Service charge is also a bit steep. But overall a nice place to hangout and have good food.",a year ago
Senjuti,5.0,"Located right next to the Maidan metro station, this is a beautifully decorated little restaurant in the heart of the city. Two of us comfortably shared the Fire of Bengal pizza, which I was initially skeptical about (mutton keema on pizza!) It turned out to be delightfully spicy, a wonderful combination of Bengali flavors and ingredients on a pizza. We also split a chocolate brownie for dessert and the combination was fantastic. Would highly recommend this restaurant. Food : 5/5   |   Service : 4/5   |   Atmosphere : 5/5 Food : 5/5   |   Service : 4/5   |   Atmosphere : 5/5 ",8 months ago
Tune with Food,4.0,"From the outside the appearance was appealing so we decided to go inside to look for the variety of choice this restaurant was offering. With our surprise we found that this restaurant has a lot of items in the menu, most items we never heard about it actually before  so we look into the menu and we found something that we can trust on it a bit which was Fire of Bengal; a pizza with tomato sauce, mozzarella, spicy mutton, green chillies and fresh coriander leaves as a toppings. We are rating this pizza 4 star because we felt like the tomato sauce was less, and the quantity of mutton could be little bit more but have to say that the cheese was in a perfect amount. A little flavour can be enhanced. Pizza was of large size basically 8 pieces of them which was more than the capacity of our tummy, it is actually enough for 4 people. Overall ambience of the restaurant was quite and nice and we liked it.  we wish to visit there once again and would like to try more item's.",3 years ago
Subhrajit Barui,4.0,"This is my first visit to this place and I am pretty impressed with this place. This place has pretty good ambience. The seating area is quite big and has an open bar. You will get all kind of fusion based foods. I recommend to try their specialty pasta items. 1 pasta is good enough for 2 person. They also serve huge pizzas, risotto and other Italian items. If you are a vegetarian there is no need to be disappointed as they have vegan based foods as well. The price is little on higher side. However, the food quality is really really awesome. The cocktail section is also good and has lots of varieties. If you are going out with friends and planning for a quick bite, you must visit this place. The pocket pinch is approximately 1000 for two. A recommended place to visit.",a year ago
L M,5.0,Wonderful discovery around the corner from my Airbnb. Very modern and stylish and clean. Staff super friendly and my take out order came quickly. I had the prosciutto and mushroom pizza and it was delicious. Want to try their pastas next!,a year ago
Shivansh Shaw,2.0,Idk why but the food we ordered was not at all worth it! And its not just my preference we were around 9 people and all of us had the same review! Also poor management and service Who tf serves origano and chili flakes in bowl. But the ambience is pretty nice   Food : 2/5   |   Service : 3/5   |   Atmosphere : 5/5 Food : 2/5   |   Service : 3/5   |   Atmosphere : 5/5 ,10 months ago
Arghyanir Giri,5.0,"Chill ambience, Great Pizzas and Cocktail! The images shown have Fire n Ice pizza and their Funghi. Both highly recommended and for cocktail we ordered Long Island Iced tea which was refreshing in the afternoon heat.",a year ago
