author,rating,comment,date
Tiasa Nath,3.0,food service would good waiter would forget bring asked even asked several time rush hour restaurant empty went portion size pasta disappointing thin crust pizza tasty according price think pizza little meat vegetarian option available plenty food service atmosphere recommended dish carbonara pasta food service atmosphere recommended dish carbonara pasta,3 months ago
Bina Soni,5.0,went whole family u kid age year old also italian food offered excellent ordered wide variety different pizza pasta soup taste really unique herb used fresh tasted amazing overall excellent experience since service provided also good amazed also centrally located near tata centre chowrangi road close loretta college kolkata india food service atmosphere food service atmosphere,5 months ago
Aankit Das,3.0,place specialises pizza expected better experience dough felt raw taste price inexplicably high maybe ordered bad pizza know going back atmosphere okay guess food service atmosphere parking space somewhat difficult find parking food service atmosphere parking space somewhat difficult find parking,6 months ago
Arnab Karmakar,5.0,slice snap savor pizza perfection every bite pizzalicious every bite fireandicepizzeriakolkata park street kolkata pizza alle verdure miste cost two food service atmosphere food service atmosphere,4 months ago
Payel Banerjee,3.0,ambience absolutely amazing little disappointed pizza went seeing amazing review maybe went waiter suggested take pizza take extra total prize agreed cause excited taste famous pizza long time pizza came burnt hard crust doug look pretty funny precise know thin crust little hard looked like last pizza made long ago even hot price even informed showed food quality waiter agreed u take step well satisfy expectation rest good might visit another time confirm bad experience one time thing food service atmosphere recommended dish food service atmosphere recommended dish,4 months ago
Suman Majumder,5.0,one better pizzeria kolkata one want try authentic italian pizza italian dish located prime spot easy access also offer large dining area thus perfect everyone accommodating large group hassle food service atmosphere food service atmosphere,6 months ago
ksgroup 07,5.0,beautiful spacious well maintained place extremely courteous staff great spot try great pizza good price especially loved base tomato sauce seemed made iced tea bit boring tasting like fruit juice tea service charge also bit steep overall nice place hangout good food food service atmosphere food service atmosphere,7 months ago
Priti Chodankar,5.0,food ambiance good authentic italian food food service atmosphere food service atmosphere,3 months ago
Rashmi Roy,4.0,beautiful spacious well maintained place extremely courteous staff great spot try great pizza good price especially loved base tomato sauce seemed made iced tea bit boring tasting like fruit juice tea service charge also bit steep overall nice place hangout good food,a year ago
Senjuti,5.0,located right next maidan metro station beautifully decorated little restaurant heart city two u comfortably shared fire bengal pizza initially skeptical mutton keema pizza turned delightfully spicy wonderful combination bengali flavor ingredient pizza also split chocolate brownie dessert combination fantastic would highly recommend restaurant food service atmosphere food service atmosphere,8 months ago
Tune with Food,4.0,outside appearance appealing decided go inside look variety choice restaurant offering surprise found restaurant lot item menu item never heard actually look menu found something trust bit fire bengal pizza tomato sauce mozzarella spicy mutton green chilli fresh coriander leaf topping rating pizza star felt like tomato sauce le quantity mutton could little bit say cheese perfect amount little flavour enhanced pizza large size basically piece capacity tummy actually enough people overall ambience restaurant quite nice liked wish visit would like try item,3 years ago
Subhrajit Barui,4.0,first visit place pretty impressed place place pretty good ambience seating area quite big open bar get kind fusion based food recommend try specialty pasta item pasta good enough person also serve huge pizza risotto italian item vegetarian need disappointed vegan based food well price little higher side however food quality really really awesome cocktail section also good lot variety going friend planning quick bite must visit place pocket pinch approximately two recommended place visit,a year ago
L M,5.0,wonderful discovery around corner airbnb modern stylish clean staff super friendly take order came quickly prosciutto mushroom pizza delicious want try pasta next,a year ago
Shivansh Shaw,2.0,idk food ordered worth preference around people u review also poor management service tf serf origano chili flake bowl ambience pretty nice food service atmosphere food service atmosphere,10 months ago
Arghyanir Giri,5.0,chill ambience great pizza cocktail image shown fire n ice pizza funghi highly recommended cocktail ordered long island iced tea refreshing afternoon heat,a year ago
Sayani Sengupta,5.0,one word express experience amazing went lunch wait little bit worth prosciutto de fungi inch pizza tomato sauce mozzarella ham fresh mushroom risotto chicken liver stewed octopus everything delicious place probably best italian restaurant kolkata best pizza life till tried risotto first time disappoint octopus also great disappointment could try gelato gelato machine functional hope fix time next visit overall big thumb owner staff,2 years ago
Puneet Arora,2.0,great ambience average pizza average price went looking great review loved vibe place important thing pizza worth price sure bell pepper like boiled precooked pizza pizza sauce also missing flavour,9 months ago
Evie Jalan,5.0,heyyy amazing experience went next day food good next time kolkata guy food service atmosphere food service atmosphere,10 months ago
Sevin Ceviker,5.0,moment walk staff friendly respectful whole place clean rare site see india happy finally able order salad salad material tasted delicious pizza fresh tasty condiment cheese real skip margarita well needed served beautifully need break spice need served napkin utensil served respect place go white table cloth service place charm movie poster wall tasty food make money well spent fyi pricey side spent single meal day drink app large pizza salad,a year ago
Enrico Pere,5.0,italian living india since year bangalore pizza fire ice best got india far dinner twice case enjoyed food quality pleasant ambience kind attentive staff sure going landmark future stay kolkata food service atmosphere recommended dish pizza napolitana food service atmosphere recommended dish pizza napolitana,a month ago
Dev,5.0,food great give sense italian cuisine best service steward polite ready help customer environment also give feeling italy classical music background food service atmosphere recommended dish antipasti pesto bacon pizza half half food service atmosphere recommended dish antipasti pesto bacon pizza half half,2 months ago
Soumya Jana,5.0,say pizza salad antipasti heaven best pizza restaurant town food service atmosphere food service atmosphere,3 months ago
Godhuli Biswas,5.0,nice place want try pizza take someone serve pizza food really good staff friendly ambience nice though find le people wo regret restaurant atleast,2 years ago
Debajyoti Guha,4.0,uppish place price moderately high college student taste good although found pizza bread onion nearly fried crisp atthe edge drink menu quite diverse however price said moderately high overall ambience nice good enough casual hangout food service atmosphere food service atmosphere,4 months ago
Jaimish Ashar,5.0,super exciting visited sri lankan restaurant back early kolkata one aug pizza tasted good people know story behind place started authentic root,a year ago
ruchir gulati,4.0,excellent food range antipasti artisan pizza wonderful service fairly quick food superb hot flavor well balanced presentation easy eye place also good ambience one thing could probably explore looking trend new pizza joint coming across city oven personally tried fare smoky effect caused wood beyond word said fire ice still remains one city best italian restaurant,5 years ago
Ishita Chatterjee,4.0,visited place last month surely must visit place love italian food place nice ambiance courteous staff beautifully decorated interior long day hungry ordered dish fire bengal among recommended dish though particularly like much pizza kind dry constantly making thirsty concept surely something new tasted anywhere else mutton keema green chilies lot coriander leaf typical bengali taste thin crusted pizza quite innovative pasta e polpettine basically spaghetti meat ball tomato sauce one understand tangy taste meatball really well made wanted try variety well pizza big full try anything else,5 years ago
"ViDeNite TrailblazersViatrix  NiViDe Casa  ViRawNi,DeeRaw & NikNi",5.0,call inhouse celebration quick drive pickup order yummylicious food fire ice completed celebration stand true mentioned phrase big enough share dish portion enough people share store lazy next day abide covid rule smiling welcome heard voice security serving personnel hygiene well maintained miss enjoying food dine however taste miss mark family feast review family review reportcard fire ice kolkata get mozzarella operates dairy project loan woman cow repayment loan made milk made fresh cheese every day rest assured taste handcrafted fresh cheese parking issue spaghetti al dente flavoured well enjoyed cherry tomato mushroom chicken breast calzone folded pizza healthy overload reason love kid pizza reviewed visit bharatmatakijai jaihind wakhraswag skillindia makeinindia,3 years ago
Jaswant Sokey,4.0,prawn bolognese interesting iteration traditional meat mutton version salad fresh added zest roasted sesame seed missed lemmon meringue pie little tarty overall item priced high four star parking take uber taxi since area never available parking space personal vehicle suitable family gathering,a year ago
Titas Ganguly,1.0,although food classified mediocre kolkata standard disgusting behaviour manager employee seal deal receiving one star would visit better option available price range,5 months ago
Sai Baba,5.0,ambience absolutely amazing little disappointed pizza went seeing amazing review maybe went waiter suggested take pizza take extra total prize agreed cause excited taste famous pizza food service atmosphere food service atmosphere,3 months ago
Sumit Pandey,5.0,one best place italian cuisine kolkata craving authentic italian food visit fire ice pizzeria totally worth restaurant exquisite suave diverse menu good italian dish ranging soup starter pizza pasta spaghetti lasagna served dish tasted amazing kept authentic manner possible pizza baked wood oven great texture taste mushroom soup league soup buttery smooth serve pasta two version white sauce ariabatta red sauce alfredo superb vegetable lasagna cheesy saucy flavour used sauce spice superb though price little par quality food genuine recipe make place treat also full functional bar good brand liquor available mean apple pie chocolate mousse cake well total want chilled italian treat enter fire n ice pizzeria,5 years ago
Abdullah Al Faruque,4.0,good restaurant good service good behaviour rich upper class people item high price,2 months ago
Hemant Dakhore,4.0,first visit place pretty impressed place place pretty good ambience seating area quite big open bar get kind fusion based food recommend try specialty pasta item pasta good enough person also serve huge pizza risotto italian item vegetarian need disappointed vegan based food well price little higher side however food quality really really awesome cocktail section also good lot variety going friend planning quick bite must visit place pocket pinch approximately two recommended place visit,7 months ago
Sanam Chauhan,1.0,google must star policy also would given zero rating spot ordered lemonade inch pizza melanzane aglio olio lemonade r u get one cotton lemon drink like campa cola north bottle one empty glass straw slice lemon therefore u pay r rupee soft drink bottle aglio olio worst thing try yuck please try else u wo try italiano ever life wasted r melanzane pizza exorbitantly priced name topping u get thin slice capsicum please go positive review trap instead visit try russel punjabi dhaba sardarji paratha lassi kesar chai awesome regretted later visiting fire pizza store visiting sardarji restaurant advice owner please consider review needful staff person cooperative food good main reason people come hence star,4 months ago
DR VINEET NAIR,4.0,located kanak building jawaharlal nehru rd park street area kolkata west bengal fire ice pizzeria casual dining specializes italian cuisine stylish restaurant top pick looking genuine italian meal menu extends far beyond signature pizza include everything crostinis bruschettas pasta risotto panini made focaccia focus authentic food kind nonna make local touch menu fire bengal pizza topped spicy mutton green chilli coriander leaf one bestseller,3 years ago
AMIT JAIN,4.0,one best pizza available town great ambience service though pricey worth parking difficult one keep mind,a year ago
Sayani Sarkar,5.0,hand place must try fir italian food price little high worth spending order two different pizza one,a year ago
Satish Pandey,4.0,beautiful spacious well maintained place extremely courteous staff great spot try great pizza good price especially loved base tomato sauce seemed made iced tea bit boring tasting,7 months ago
MotoHolic Sergey,5.0,ambiance service place amazing one best pizza outside home really fast service delicious food price slightly higher end blue moon afford treat quality italian food,5 years ago
rituparna nandan,5.0,wonderful experience always best authentic pizza town try au quattro formaggio spaghetti bolognese lemon meringue pie victoria sponge cake affogato die,3 years ago
Kaushik Chakraborti,4.0,chicken pizza fire bengal pizza mutton keema white sauce pasta tirramisu movktails white sauce pasta tiramisu exquisite pizza though bad different seemed bit overhyped,a year ago
Mritunjay Patra,4.0,order variety pizza excellent personally loved fire bengal loaded indian flavour mutton keema green chilli dash coriander well ambience good great place enjoy pizza beer,4 years ago
Sayani Deb,4.0,tried ai quattro formaggi taste authentic must visit would love visit food service atmosphere food service atmosphere,11 months ago
Madhulima Saha,5.0,lovely pizzeria park street discovered although many year great fun good choice pizza ordered fav pepperoni n tequila sunrisa,4 years ago
Pranay Bansal,5.0,although ambience best authentic italian pizzeria place good food disappointed left licking finger even completely full pizza lasagna starter cherry top waiter enthusiastically heloing u entire meal loved place definitely recommend food service atmosphere food service atmosphere,7 months ago
Surendranath Reddy,4.0,really good italian food one place city manages stay consistent quality taste yes bit premium quality ingredient also good ambience great love openness restaurant time favourite pollo di picante also love pizza literally bar well stocked dessert delicious service good overall definitely treat food service atmosphere recommended dish mocktail food service atmosphere recommended dish mocktail,7 months ago
matthew pretorius,5.0,pizza terrible service good atmosphere bad food service atmosphere food service atmosphere,a week ago
Abhinav Sharma,4.0,first place fell love ambience food recently visited almost year got slightly disappointed food rest everything especially service ambience great food service atmosphere food service atmosphere,5 months ago
Niraag Shah,4.0,one oldest pizza place kolkata great food great service great option great ambiance must go place visiting city vegetarian option many option vegetarian food yes bring kid without hesitation wheelchair accessibility easily bring wheelchair food service atmosphere recommended dish bruschetta al pomodoro pizza india parking space somewhat difficult find parking parking option free street parking food service atmosphere recommended dish bruschetta al pomodoro pizza india parking space somewhat difficult find parking parking option free street parking,5 months ago
Namrota Sinha,5.0,amazing family coulple friendly place offer italian delicacy best tried vodka martini pizza pasta tiramisu chocolate moose little bit expensive place,4 months ago
Monalisa Singh Roy,5.0,best pizza place kolkata without doubt price higher end totally worth every dime,3 years ago
Joyaprita Samanta,2.0,food upto mark pizza bread hard main reason low rating charged service tax bill even gst asked upon tried manage saying optional optional present bill first time right customer asks forced pay service tax along gst fair,5 years ago
Ashish Gulgulia,3.0,taste okay okay fan pizza experiment different topping worth price,5 years ago
Sheetal Sahal,3.0,went place heard lot place dnt like much service good food ok,3 years ago
Magi K,5.0,best italian restaurant u get pasta pizza yummy nice ambience food service atmosphere food service atmosphere,4 months ago
Anshul Sharma,5.0,quite rare come across fine experience pizza mouthwatering delicious satisfying wait get back place,2 years ago
bala gopal,4.0,well maintained place extremely courteous staff great spot try great pizza good price,5 months ago
Jitesh Gupta,5.0,remember pizza name come mind fire ice pizzeria truly delicious cheesy pizza available check place assure u wo disappointed,a year ago
SHADAB AHMED,5.0,visit office friend food worth price ambience absolutely amazing ordered la marinara dessert tasty offer sometimes well vegetarian option amazing vegetarian food food service atmosphere recommended dish pollo pizza food service atmosphere recommended dish pollo pizza,7 months ago
Stephan Wu,4.0,one authentic italian restaurant kulkata however quite expensive local standard clean enjoyable atmosphere,6 years ago
Aayati Sengupta,3.0,going fire ice last ten year one thing consistently good pizza however lot else slipped crack yesterday visit quite year temperature check hand sanitizing entrance shown table place relatively uncrowded seen jampacked restaurant walk park street bonus book pandemic however disappointed find salt pepper shaker table well next empty ginger ale served without mint leaf even though specified couple mint leaf provided chilli oil clearly outlived day bottle chilli oil table ancient chilli heat oil also disappointing since introduced good chilli oil pizza fire ice hope establishment put little bit effort getting place back original day however pizza still taste great soft flaky thin crust fresh cheese fresh marinara fresh ingredient,2 years ago
Sayantani Chatterjee,5.0,amicable environment quick precise service pricey good food,a year ago
Disha Dugar,5.0,food amazing usual found parking nearby building add great ambience niche crowd soulful food,3 years ago
Proshanto Dutta,5.0,one best experience restaurant food service atmosphere food service atmosphere,a month ago
Non Microwaveable,5.0,place interesting vibe like old world italy decor choice music meet upscale cosmopolitan pizzeria decor swanky bar tad expensive food make order right paesana spinach bacon know never disappoints,5 years ago
Nallipogu Chandu,5.0,chill ambience great pizza cocktail image shown fire n ice pizza funghi highly recommended cocktail ordered long island iced tea refreshing afternoon heat,7 months ago
Sharmila Chakravorty,5.0,nice food lively ambience highly recommended food service atmosphere food service atmosphere,a month ago
Tuhin Adhikary,5.0,place number occasion probably writing review fire ice first time personally enjoyed dining everytime went food quality variety really good ambience friendly however might find price notch higher summarise nice place family dining food service atmosphere food service atmosphere,8 months ago
